animals|meta|title|What animal are you?
animals|meta|description|Answer a few questions and find out which animal lives inside you
animals|meta|start_btn|Start
animals|meta|result_title|You are a
animals|meta|share_btn|Share
animals|meta|retry_btn|Try again
animals|meta|progress|Question {current} of {total}
animals|result|swan|trait2|Elegance
animals|result|koala|name|Koala
animals|result|koala|desc|You know how to enjoy life. Relaxed and easygoing — you value comfort and don't overcomplicate things.
animals|result|koala|trait0|Relaxation
animals|result|koala|trait1|Comfort
animals|result|koala|trait2|Easygoing
animals|question|q1|text|How do you feel at a big party?
animals|option|q1a|label|🎤 In the spotlight — that's my element
animals|option|q1b|label|🤝 Chatting with a few close people
animals|option|q1c|label|👀 Observing and studying people
animals|option|q1d|label|🚪 Looking for an excuse to leave early
animals|question|q2|text|Before an important decision, you...
animals|option|q2a|label|⚡ Act immediately — instinct never fails
animals|option|q2b|label|🧠 Analyze all options for a long time
animals|option|q2c|label|💬 Consult with people I trust
animals|option|q2d|label|🎲 Go with the feeling of the moment
animals|question|q3|text|What inspires you the most?
animals|option|q3a|label|🏔️ New challenges and victories
animals|option|q3b|label|🌿 Nature, silence, open space
animals|option|q3c|label|🎨 Creativity and self-expression
animals|option|q3d|label|❤️ People and relationships around you
animals|question|q4|text|How do you react to conflict?
animals|option|q4a|label|🔥 Stand my ground to the end
animals|option|q4b|label|🧩 Look for compromise and solutions
animals|option|q4c|label|🌀 Avoid it and wait for it to settle
animals|option|q4d|label|😄 Defuse it with humor
animals|question|q5|text|What's your ideal rest?
animals|option|q5a|label|🏕️ Hiking, nature, physical activity
animals|option|q5b|label|🎉 Party, friends, new people
animals|option|q5c|label|📚 Book, series, quiet at home
animals|option|q5d|label|✈️ Traveling somewhere new
animals|question|q6|text|What do your friends say about you?
animals|option|q6a|label|💪 Reliable and always there
animals|option|q6b|label|😂 The funniest in the group
animals|option|q6c|label|🌟 Confident and inspiring
animals|option|q6d|label|🔮 Mysterious and unpredictable
animals|question|q7|text|How do you feel about changes in life?
animals|option|q7a|label|🚀 Love them — new opportunities!
animals|option|q7b|label|📋 Plan and prepare in advance
animals|option|q7c|label|🌊 Go with the flow, adapt
animals|option|q7d|label|🛡️ Prefer stability
animals|question|q8|text|How do you behave when someone asks for your help?
animals|option|q8a|label|🦸 Drop everything and rush to help
animals|option|q8b|label|🗺️ First understand the problem
animals|option|q8c|label|🤗 Give emotional support, listen
animals|option|q8d|label|💡 Suggest an unconventional solution
animals|question|q9|text|What's your attitude toward rules?
animals|option|q9a|label|📏 Rules exist for a reason — I follow them
animals|option|q9b|label|🔓 Rules are for those who can't think
animals|option|q9c|label|⚖️ Depends on the situation
animals|option|q9d|label|🎪 Rules are boring, I break them with a smile
animals|question|q10|text|What do you do when you're feeling down?
animals|option|q10a|label|🚶 Go somewhere alone — I need time
animals|option|q10b|label|📞 Call a friend — better together
animals|option|q10c|label|🎵 Music, food, favorite show
animals|option|q10d|label|💪 Jump into action — work heals
animals|question|q11|text|How do you decide where to go on a day off?
animals|option|q11a|label|📍 I have favorite spots — I go there
animals|option|q11b|label|🎯 Look for something new and unexplored
animals|option|q11c|label|👥 Wherever friends suggest — I'm in
animals|option|q11d|label|🌄 Somewhere with open space and views
animals|question|q12|text|How do you take criticism?
animals|option|q12a|label|🙏 Thank you — it helps me grow
animals|option|q12b|label|🔥 Defend myself — I know what I'm doing
animals|option|q12c|label|🤔 Think it over alone later
animals|option|q12d|label|😅 Laugh it off and move on
animals|question|q13|text|What does success mean to you?
animals|option|q13a|label|🏆 Achieve more than others
animals|option|q13b|label|❤️ Happy loved ones around me
animals|option|q13c|label|🎨 Do what I love every day
animals|option|q13d|label|🌿 Freedom and inner peace
animals|question|q14|text|What role do you usually play in a team?
animals|option|q14a|label|👑 Take initiative and lead
animals|option|q14b|label|🔧 Do my part well and quietly
animals|option|q14c|label|🌈 Support and motivate others
animals|option|q14d|label|💡 Generate ideas and unconventional solutions
animals|question|q15|text|What would you do with a time machine?
animals|option|q15a|label|🏛️ Witness great events of the past
animals|option|q15b|label|🚀 Fly to the future to see what's there
animals|option|q15c|label|🔄 Fix my past mistakes
animals|option|q15d|label|🎪 Just travel around and have fun
animals|question|q16|text|How do you learn new things?
animals|option|q16a|label|📚 Read, research, analyze
animals|option|q16b|label|🤸 Try it hands-on right away
animals|option|q16c|label|👥 Learn from other people
animals|option|q16d|label|🎨 Seek inspiration and my own path
animals|question|q17|text|What kind of music fits your mood?
animals|option|q17a|label|🎸 Rock or metal — powerful and loud
animals|option|q17b|label|🎶 Pop or dance — cheerful and light
animals|option|q17c|label|🎹 Classical or jazz — deep and elegant
animals|option|q17d|label|🌧️ Lo-fi or ambient — quiet and dreamy
animals|question|q18|text|How do you celebrate achievements?
animals|option|q18a|label|🥳 Big party with friends!
animals|option|q18b|label|🏅 Set a new goal right away
animals|option|q18c|label|🍫 Quietly treat myself to something nice
animals|option|q18d|label|✨ Share the joy, inspire others
animals|question|q19|text|What's your relationship with nature?
animals|option|q19a|label|🌲 The forest feels like home to me
animals|option|q19b|label|🌊 I'm drawn to water and the ocean
animals|option|q19c|label|☀️ I love sun, flowers, and open spaces
animals|option|q19d|label|🏙️ I'm more of a city person, honestly
animals|question|q20|text|How do you handle waiting?
animals|option|q20a|label|😤 Very impatiently — time drags!
animals|option|q20b|label|🧘 Calmly — everything comes in its time
animals|option|q20c|label|📱 Find something to keep myself busy
animals|option|q20d|label|💬 Chat with whoever is nearby
animals|question|q21|text|What's your approach to secrets?
animals|option|q21a|label|🤐 Never tell — take them to the grave
animals|option|q21b|label|🫣 I try but sometimes slip up
animals|option|q21c|label|🕵️ Love finding out others' secrets
animals|option|q21d|label|🤷 Don't like secrets — prefer openness
animals|question|q22|text|What kind of weather matches your personality?
animals|option|q22a|label|⛈️ Thunderstorm — powerful and unpredictable
animals|option|q22b|label|☀️ Sunny day — warm and bright
animals|option|q22c|label|❄️ Snow — quiet, beautiful, and mysterious
animals|option|q22d|label|🌦️ Spring rain — fresh and changeable
animals|question|q23|text|How do you start a new project?
animals|option|q23a|label|📋 Detailed plan from A to Z
animals|option|q23b|label|⚡ Jump right in — figure it out later
animals|option|q23c|label|💭 Dream, sketch, search for ideas
animals|option|q23d|label|🤝 Gather a team of like-minded people
animals|question|q24|text|What's your morning routine?
animals|option|q24a|label|🌅 Up early — the day awaits!
animals|option|q24b|label|😴 Five more minutes... and five more
animals|option|q24c|label|🎵 Music, shower, dancing in the mirror
animals|option|q24d|label|🌑 I'm a night person — mornings are my enemy
animals|question|q25|text|How do you express your feelings?
animals|option|q25a|label|🗣️ Say directly what I feel
animals|option|q25b|label|🎭 Through creativity — draw, write, play
animals|option|q25c|label|🤗 Hug, help, give gifts
animals|option|q25d|label|🙃 Keep it inside — don't like to show
hp|result|harry|name|Harry Potter
hp|result|harry|desc|You're the heart of the team. Not the strongest or smartest, but the bravest. You move forward even when afraid — and that's what makes you a hero.
hp|result|harry|trait0|Bravery
hp|result|harry|trait1|Sacrifice
hp|result|harry|trait2|Loyalty
hp|result|hermione|name|Hermione Granger
hp|result|hermione|desc|You're prepared for everything. Logic, knowledge and discipline are your weapons. Friends know: if there's a problem, you already have three solutions.
hp|result|hermione|trait0|Intelligence
hp|result|hermione|trait1|Preparedness
hp|result|hermione|trait2|Justice
hp|result|ron|name|Ron Weasley
hp|result|ron|desc|You're the one everyone can count on. Not always confident, but nobody feels alone with you around. Loyal to the end.
hp|result|ron|trait0|Loyalty
hp|result|ron|trait1|Humor
hp|result|ron|trait2|Heart
hp|result|luna|name|Luna Lovegood
hp|result|luna|desc|You live in your own world — and that's your strength. You see beauty where others don't. Odd to some, magical to those who know.
hp|result|luna|trait0|Uniqueness
hp|result|luna|trait1|Intuition
hp|result|luna|trait2|Dreaminess
hp|result|neville|name|Neville Longbottom
hp|result|neville|desc|You grow quietly but steadily. Long underestimated, but you're the one who takes the decisive step when it matters. Your courage is hidden but real.
hp|result|neville|trait0|Growth
hp|result|neville|trait1|Resilience
hp|result|neville|trait2|Humility
hp|result|dumbledore|name|Albus Dumbledore
hp|result|dumbledore|desc|You see further than others and stay quiet about it. Wise, patient, with secrets nobody knows. Your presence changes people.
hp|result|dumbledore|trait0|Wisdom
hp|result|dumbledore|trait1|Patience
hp|result|dumbledore|trait2|Mystery
hp|result|snape|name|Severus Snape
hp|result|snape|desc|You're rarely understood correctly. Cold outside, but inside — deep feelings and principles. You do the right thing not because it's easy, but because it must be done.
hp|result|snape|trait0|Complexity
hp|result|snape|trait1|Principles
hp|result|snape|trait2|Hidden depth
hp|result|draco|name|Draco Malfoy
hp|result|draco|desc|You were born with great expectations and still wrestling with them. Sharp-tongued and confident outside, but inside — more doubt than anyone thinks.
hp|result|draco|trait0|Ambition
hp|result|draco|trait1|Complexity
hp|result|draco|trait2|Pride
hp|result|ginny|name|Ginny Weasley
hp|result|ginny|desc|People underestimate you — and that's their mistake. Strong, direct, and not afraid to speak the truth. You know your worth and don't need approval.
hp|result|ginny|trait0|Strength
hp|result|ginny|trait1|Independence
hp|result|ginny|trait2|Honesty
hp|result|fred_george|name|Fred & George Weasley
hp|result|fred_george|desc|You're the fire in the room. Jokes, energy and laughter are your language. But behind the humor is intelligence and care for those you love.
hp|result|fred_george|trait0|Humor
hp|result|fred_george|trait1|Energy
hp|result|fred_george|trait2|Sincerity
hp|result|hagrid|name|Rubeus Hagrid
hp|result|hagrid|desc|You're big not just in size, but in heart. You love all creatures, protect the weak, and are always open to friends. Your emotions are real and strong.
hp|result|hagrid|trait0|Kindness
hp|result|hagrid|trait1|Loyalty
hp|result|hagrid|trait2|Emotion
hp|result|mcgonagall|name|Minerva McGonagall
hp|result|mcgonagall|desc|You embody discipline and fairness. Strict but never cruel. Behind a cool exterior hides a warm heart and dry wit.
hp|result|mcgonagall|trait0|Discipline
hp|result|mcgonagall|trait1|Fairness
hp|result|mcgonagall|trait2|Dry wit
hp|result|sirius|name|Sirius Black
hp|result|sirius|desc|You're a rebel with a golden heart. Impulsive, passionate, and an incredibly loyal friend. Freedom is everything to you, and boredom is your worst enemy.
hp|result|sirius|trait0|Rebellion
hp|result|sirius|trait1|Loyalty
hp|result|sirius|trait2|Passion
hp|result|lupin|name|Remus Lupin
hp|result|lupin|desc|You're a quiet sage who struggles with inner demons. Gentle, humble, and always ready to help. You teach not with words but by example.
hp|result|lupin|trait0|Wisdom
hp|result|lupin|trait1|Gentleness
hp|result|lupin|trait2|Humility
hp|result|tonks|name|Nymphadora Tonks
hp|result|tonks|desc|You're bright and cheerful even when chaos surrounds you. Clumsy but brave, colorful but serious when needed. You don't fit in boxes — and that's beautiful.
hp|result|tonks|trait0|Colorfulness
hp|result|tonks|trait1|Bravery
hp|result|tonks|trait2|Fun
hp|result|dobby|name|Dobby
hp|result|dobby|desc|You're a small hero with a big soul. Selfless, devoted, and brave in your own way. You value freedom and will do anything for those you love.
hp|result|dobby|trait0|Selflessness
hp|result|dobby|trait1|Devotion
hp|result|dobby|trait2|Freedom
hp|result|cedric|name|Cedric Diggory
hp|result|cedric|desc|You're a true knight. Fair, noble, and humble. Winning matters to you, but not at any cost. You play fair — always.
hp|result|cedric|trait0|Nobility
hp|result|cedric|trait1|Fairness
hp|result|cedric|trait2|Humility
hp|result|bellatrix|name|Bellatrix Lestrange
hp|result|bellatrix|desc|You're a storm. Intense, fanatical, and unpredictable. Your passion knows no bounds, and your devotion is absolute. It's never boring with you — and never safe.
hp|result|bellatrix|trait0|Intensity
hp|result|bellatrix|trait1|Fanaticism
hp|result|bellatrix|trait2|Unpredictability
hp|result|voldemort|name|Lord Voldemort
hp|result|voldemort|desc|You crave absolute power and control. Ambitious, powerful, and ruthless. You fear only one thing — death. Your will is unbreakable, but the cost is your humanity.
hp|result|voldemort|trait0|Ambition
hp|result|voldemort|trait1|Power
hp|result|voldemort|trait2|Control
hp|result|moody|name|Alastor Moody
hp|result|moody|desc|You're an eternally vigilant warrior. Paranoid, experienced, and tough. You trust only facts and your own eyes. Constant vigilance is your creed.
hp|result|moody|trait0|Vigilance
hp|result|moody|trait1|Experience
hp|result|moody|trait2|Toughness
hp|result|molly_weasley|name|Molly Weasley
hp|result|molly_weasley|desc|You're the heart of the family. Warm, caring, and fiercely protective. Don't mess with her kids — you'll see what a mother is capable of. Behind the tenderness is steel.
hp|result|molly_weasley|trait0|Protectiveness
hp|result|molly_weasley|trait1|Warmth
hp|result|molly_weasley|trait2|Fierce love
hp|result|arthur_weasley|name|Arthur Weasley
hp|result|arthur_weasley|desc|You're endlessly curious and kind. Fascinated by ordinary things others find boring. Humble, but with a big heart and true values.
hp|result|arthur_weasley|trait0|Curiosity
hp|result|arthur_weasley|trait1|Kindness
hp|result|arthur_weasley|trait2|Humility
hp|question|hq1|text|How do you react when someone unfairly hurts the weak?
hp|option|hq1a|label|⚡ I defend immediately — can't just watch
hp|option|hq1b|label|📚 Find a rule or argument
hp|option|hq1c|label|🌙 Watch sadly — the world is like that
hp|option|hq1d|label|🐍 Assess the situation — is it worth interfering?
hp|question|hq2|text|What matters most to you in friendship?
hp|option|hq2a|label|🤝 Loyalty through anything
hp|option|hq2b|label|🧠 Mutual respect and intelligence
hp|option|hq2c|label|😄 Laughter and shared adventures
hp|option|hq2d|label|🌙 Acceptance without judgment
hp|question|hq3|text|How do you make an important decision?
hp|option|hq3a|label|⚡ With my heart — and forward
hp|option|hq3b|label|📚 Analyze all facts
hp|option|hq3c|label|🔮 Think about long-term consequences
hp|option|hq3d|label|🌙 Trust my intuition
hp|question|hq4|text|Which Hogwarts subject would be your favourite?
hp|option|hq4a|label|🧹 Quidditch — I want to fly
hp|option|hq4b|label|🧪 Potions or Transfiguration
hp|option|hq4c|label|🌿 Care of Magical Creatures
hp|option|hq4d|label|🔮 Divination or Defence Against the Dark Arts
hp|question|hq5|text|How do you react to criticism?
hp|option|hq5a|label|🔥 Defend myself and argue
hp|option|hq5b|label|📚 Analyze if it's fair
hp|option|hq5c|label|🌙 Doesn't affect me — I have my own path
hp|option|hq5d|label|🤝 Accept it and try to improve
hp|question|hq6|text|What scares you most?
hp|option|hq6a|label|💔 Losing loved ones
hp|option|hq6b|label|❌ Making a mistake
hp|option|hq6c|label|🔒 Losing freedom and myself
hp|option|hq6d|label|🌑 Disappointing those who believe in you
hp|question|hq7|text|How would your friends describe you in one word?
hp|option|hq7a|label|🦁 Brave
hp|option|hq7b|label|🧠 Smart
hp|option|hq7c|label|😄 Funny
hp|option|hq7d|label|🌙 Unique
hp|question|hq8|text|What's your attitude toward rules?
hp|option|hq8a|label|⚡ Rules can be broken if it's just
hp|option|hq8b|label|📚 Rules exist for a reason
hp|option|hq8c|label|🌙 Rules are a human construct
hp|option|hq8d|label|🖤 Follow publicly — decide privately
hp|question|hq9|text|What's your role in a group?
hp|option|hq9a|label|👑 I lead
hp|option|hq9b|label|📋 Plan and organize
hp|option|hq9c|label|🤝 Support and motivate
hp|option|hq9d|label|💡 Bring unexpected ideas
hp|question|hq10|text|What inspires you most?
hp|option|hq10a|label|❤️ Love and protecting loved ones
hp|option|hq10b|label|📖 Knowledge and understanding the world
hp|option|hq10c|label|🏆 Achievement and recognition
hp|option|hq10d|label|😄 Laughter and the moment
hp|question|hq11|text|What would you see in the Mirror of Erised?
hp|option|hq11a|label|👨‍👩‍👧‍👦 My family — happy and together
hp|option|hq11b|label|🏅 Myself — successful and recognized
hp|option|hq11c|label|🌍 A peaceful world without evil
hp|option|hq11d|label|🎪 Myself surrounded by friends and laughter
hp|question|hq12|text|How do you prepare for exams?
hp|option|hq12a|label|📚 Make a schedule and study early
hp|option|hq12b|label|😅 Last night — panic and coffee
hp|option|hq12c|label|🤷 Rely on intuition and luck
hp|option|hq12d|label|🧠 Find a clever way to pass
hp|question|hq13|text|What would your Patronus represent?
hp|option|hq13a|label|🦁 Courage and determination
hp|option|hq13b|label|🦉 Wisdom and calm
hp|option|hq13c|label|🐺 Loyalty and protection
hp|option|hq13d|label|🦊 Cunning and adaptability
hp|question|hq14|text|How do you handle a secret you accidentally discovered?
hp|option|hq14a|label|🤐 Keep it secret — it's not my business
hp|option|hq14b|label|🗣️ Tell a close friend
hp|option|hq14c|label|🔍 Investigate further — I'm curious!
hp|option|hq14d|label|💡 Use it to my advantage
hp|question|hq15|text|What's your approach when a friend makes a mistake?
hp|option|hq15a|label|🤗 Support them and help fix it
hp|option|hq15b|label|📏 Honestly tell them they're wrong
hp|option|hq15c|label|😂 Joke to lighten the situation
hp|option|hq15d|label|🤔 Let them figure it out themselves
hp|question|hq16|text|Which magical item would you want?
hp|option|hq16a|label|👻 Invisibility Cloak
hp|option|hq16b|label|⏳ Time-Turner
hp|option|hq16c|label|🗺️ Marauder's Map
hp|option|hq16d|label|🔮 Omnioculars — see everything in detail
hp|question|hq17|text|How do you deal with being alone?
hp|option|hq17a|label|📖 Read or learn something new
hp|option|hq17b|label|😟 I struggle — I look for company
hp|option|hq17c|label|💭 Dive into my thoughts and dreams
hp|option|hq17d|label|🔧 Invent something fun or tinker
hp|question|hq18|text|What's your reaction to an unfair teacher?
hp|option|hq18a|label|😤 Openly speak up against it
hp|option|hq18b|label|😏 Quietly resist — they won't break me
hp|option|hq18c|label|😔 Endure it, but it hurts inside
hp|option|hq18d|label|🧩 Look for a wise way to solve it
hp|question|hq19|text|How would you spend a free day at Hogwarts?
hp|option|hq19a|label|🏕️ Walk by the lake or in the forest
hp|option|hq19b|label|📚 Sit in the library — so many books!
hp|option|hq19c|label|🧨 Plan pranks and have fun
hp|option|hq19d|label|🏰 Explore the castle's secret corridors
hp|question|hq20|text|What motivates you to keep going in tough times?
hp|option|hq20a|label|💪 The people I have to protect
hp|option|hq20b|label|📐 Belief that I know the right path
hp|option|hq20c|label|🔥 Desire to prove I'm worth something
hp|option|hq20d|label|✨ Faith that everything will work out
hp|question|hq21|text|How do you enter a room full of strangers?
hp|option|hq21a|label|🎤 Confidently — I love meeting people
hp|option|hq21b|label|👀 Quietly observe from the corner
hp|option|hq21c|label|🤝 Look for someone I know to stay near
hp|option|hq21d|label|😎 Walk in to make an impression
hp|question|hq22|text|What would you do with the Marauder's Map?
hp|option|hq22a|label|🕵️ Track suspicious people
hp|option|hq22b|label|🍰 Sneak to the kitchen for snacks
hp|option|hq22c|label|🗺️ Explore all hidden places of Hogwarts
hp|option|hq22d|label|😈 Use it for pranks on others
hp|question|hq23|text|How do you handle your own mistakes?
hp|option|hq23a|label|😣 Overthink and analyze for a long time
hp|option|hq23b|label|🔄 Fix it quickly and move on
hp|option|hq23c|label|😅 Laugh at myself — everyone makes mistakes
hp|option|hq23d|label|🙄 Don't admit it — maybe no one noticed
hp|question|hq24|text|What kind of leader would you be?
hp|option|hq24a|label|🛡️ One who leads by example
hp|option|hq24b|label|📋 An organized strategist
hp|option|hq24c|label|🎭 A charismatic inspirer
hp|option|hq24d|label|🤜 One who supports everyone on the team
hp|question|hq25|text|How do you say goodbye?
hp|option|hq25a|label|🫂 Big hug — who knows when we'll meet again
hp|option|hq25b|label|✋ Restrained but sincere — 'take care'
hp|option|hq25c|label|🎉 'This isn't goodbye — it's see you later!'
hp|option|hq25d|label|😎 Leave silently — dramatic exit
peculiar|result|jacob|name|Jacob
peculiar|result|jacob|desc|You're ordinary — and that's exactly what makes you special. You enter a strange world with fresh eyes, and your 'ordinariness' turns out to be a strength others lack.
peculiar|result|jacob|trait0|Openness
peculiar|result|jacob|trait1|Bravery
peculiar|result|jacob|trait2|Heart
peculiar|result|emma|name|Emma
peculiar|result|emma|desc|You carry warmth — literally and figuratively. Passionate, protective, and if you love someone — ready for anything. Your fire can warm or burn.
peculiar|result|emma|trait0|Passion
peculiar|result|emma|trait1|Protection
peculiar|result|emma|trait2|Strength
peculiar|result|olive|name|Olive
peculiar|result|olive|desc|You're easygoing and always look upward. Optimistic, light of spirit — you lift everyone's mood. But inside there's an anchor: those you love.
peculiar|result|olive|trait0|Optimism
peculiar|result|olive|trait1|Lightness
peculiar|result|olive|trait2|Joy
peculiar|result|enoch|name|Enoch
peculiar|result|enoch|desc|You observe more than you speak. Somewhat dark, somewhat mysterious — but deeper than you seem. Your dark humor is a defense for very deep feelings.
peculiar|result|enoch|trait0|Mystery
peculiar|result|enoch|trait1|Depth
peculiar|result|enoch|trait2|Independence
peculiar|result|miss_peregrine|name|Miss Peregrine
